phc,phh,ec,caco3,p,n,k,stones
0.676,0.677,0.682,0.676,0.677,0.683,0.68,0.678
0.682,0.68,0.679,0.68,0.682,0.677,0.672,0.681
0.676,0.677,0.676,0.683,0.681,0.682,0.675,0.681
0.675,0.676,0.678,0.676,0.677,0.678,0.674,0.683
0.681,0.675,0.678,0.679,0.675,0.676,0.674,0.667
